Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
17,"Something Fishy","Near Durga Mata Mandir, Opposite Udaan Bio-Divercity Park, Symbiosis College Road, Viman Nagar, Pune",500,"4.2"
18,"Falahaar","Shop 3 & 4, Laxman Park, Opposite Hotel Green Park, Baner, Pune",600,"4.1"
19,"Agent Jack's","Rooftop, Pride Purple Accord, Opposite Veritas Deron Heights, Baner, Pune",1300,"4.1"
0,"Level 5 Bistro and Bar","5th Floor, CTS 1365, above Kalinga Veg Gourmet Kitchen, House of Nosh, Gulawani Maharaj Path, opposite Mehendale Garage, Erandwane, Pune",1200,"4.9"
1,"LKD | La Kheer Deli","Outside Starbucks, ITI road, Aundh ",200,"4.9"
2,"Gong","Shop 22/23, Balewadi High Street, Cummins India Office Campus, Baner- Balewadi Link Road, Baner, Pune",1700,"4.8"
3,"Nina Pinta Santamaria","Near Jupiter Hospital, Aundh - Baner Link Road, Baner, Pune",300,"4.7"
4,"Laa Unico","Arihant Aura Building, Above Comet Stationery, Next to Sujay Garden, Commercial Complex, Near Laxmi Narayan Theatre, Mukundnagar, Swargate, Pune",1400,"4.7"
5,"Anda Ground","Shop A1, Sai Heritage, Near Medipoint Hospital, Aundh, Pune",400,"4.7"
6,"Anna Idli","Opposite Aman Honda Showroom, Baner Road, Baner, Pune",450,"4.6"
7,"Effingut Brewerkz","Shop 4, Deron Heights, Next to Ranka Jewellers, Baner, Pune",2400,"4.6"
8,"Darshan","Amar Business Park, Baner, Pune",700,"4.6"
9,"The Urban Foundry","Shop 1, Balewadi High Street, Cummins India Office Campus, Baner-Balewadi Link Road, Baner, Pune",1500,"4.6"
10,"Mr Rabbit's Bar & Burrow","Shop 1, Siddh Icon, Opposite Royal Enfield Showroom, Baner, Pune",1400,"4.6"
11,"The Urban Foundry","Shop B3, Ground Floor, Cerebrum IT Park, Near Marigold Complex, Kalyani Nagar, Pune",1600,"4.6"
12,"Malaka Spice","Lane 5, Opposite Oxford Properties, North Main Road, Koregaon Park, Pune",1800,"4.6"
13,"Flying Duck Co.","Shop 12-13, D Building, Park Grandeur, Balewadi High Street, Baner, Pune",1200,"4.5"
14,"Pagdandi Books Chai Cafe","Shop 6, Regent Plaza, Baner Pashan Link Road, Behind Symantec, Baner, Pune",250,"4.5"
15,"D' हungry MOGAMBO","Shop 26, Regent Plaza, Baner Pashan Link Road, Baner, Pune",600,"4.5"
16,"Effingut Brewerkz","Lane Number 6, Koregaon Park, Pune",1700,"4.5"
17,"Origin Bistro","Shop 2A, The Capital, Baner-Pashan Link Road, Baner, Pune",600,"4.4"
18,"Incognito - Restaurant, Bar & Cafe","Balewadi High Street, Panchshil Business Park, Baner Balewadi Link Road, Baner, Pune",1500,"4.4"
19,"Apache High Street","Shop 3, Balewadi High Street, Panchshil Business Park, Balewadi-Baner Link Road, Baner, Pune",1100,"4.4"
