Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
15,"Sattvam Veg","Srushti Elegance, DP Road, Balewadi Phata, Baner, Pune ",1200,"3.6"
16,"Tales & Spirits","Plot 64, Shivaji Housing Society, Senapati Bapat Road, Pune",1200,"4.3"
17,"Level 5 Bistro and Bar","5th Floor, CTS 1365, above Kalinga Veg Gourmet Kitchen, House of Nosh, Gulawani Maharaj Path, opposite Mehendale Garage, Erandwane, Pune",1200,"4.9"
18,"The Asian Box","A2, Shahinsha Building, Lane 6, Koregaon Park, Pune",1200,"4.0"
19,"Polka Dots","Ground Floor, Westend Mall, Aundh, Pune",1200,"4.2"
0,"Elephant & Co.","Shop 5, Ground Floor Sai Heritage Survey 131/1B/1, Baner Main Road, Baner, Pune",1500,"4.2"
1,"Mojo Pizza - 2X Toppings","915, Baner Gaon, Baner",600,"4.2"
2,"The Break Room","A101, Baner Biz Bay, Near D-Mart, Opposite Syngenta Baner, Above Andhra Bank, Baner, Pune",1500,"4.2"
3,"Paramount Ice Cream","Shop 9, Pride Valencia, Pan Card Club Road, Near Dhankude High School, Baner, Pune",200,"4.2"
4,"Creaminal Treats","Shop 153, Opposite Joy Box, Baner Main Road, Baner , Pune",300,"4.2"
5,"Starbucks Coffee","Shop 9, Cummins India Office Complex, Balewadi High Street, Baner, Pune",700,"4.2"
6,"The Belgian Waffle Co.","Shop 9, Park Grandeur, Balewadi High Street, Baner, Pune",400,"4.2"
7,"Myfroyoland","Unit 16, Balewadi High Street, Baner, Pune",400,"4.2"
8,"Arkie's Born Bakers","Aditya Towers, Opposite Mount Carmel Covent, Lulla Nagar, Bibvewadi, Pune Kondhwa Road",550,"4.2"
9,"Yalla Momos","Shop 8, Vastu Nirvana, Baner - Pashan Link Road, Pashan, Pune",350,"4.2"
10,"Anna Idli","31 Parmar Square, South Main Road, Kharadi, Pune",450,"4.2"
11,"Polka Dots","Ground Floor, Westend Mall, Aundh, Pune",1200,"4.2"
12,"Eskopop","Shop A2, Gera Sterling, North Main Road, Koregaon Park, Pune",250,"4.2"
13,"Soy Affair","Shop A2, Sai Heritage, Near Medipoint Hospital, New DP Road, Aundh, Pune",500,"4.2"
14,"I'm Lion, Strictly Non-Veg","U10, Navkar Avenue, 1st Floor, Near Axis Bank, NDA Pashan Road, DSK Raanwara Lane, Bavdhan, Pune",800,"4.2"
15,"Grillicious","Survey 38/4/1, 3rd Floor, Pathare Wasti, Krushna Park, Mundhwa Bypass Road, Kharadi, Pune",800,"4.2"
16,"Two Sticks","Shop 1, Avenue Daffodils, Ground Floor, New D.P. Road, Sai Chowk, Balewadi, Pune",800,"4.2"
17,"Something Fishy","Near Durga Mata Mandir, Opposite Udaan Bio-Divercity Park, Symbiosis College Road, Viman Nagar, Pune",500,"4.2"
18,"Falahaar","Shop 3 & 4, Laxman Park, Opposite Hotel Green Park, Baner, Pune",600,"4.1"
19,"Agent Jack's","Rooftop, Pride Purple Accord, Opposite Veritas Deron Heights, Baner, Pune",1300,"4.1"
0,"Azzurro","Survey 50/21, Near Balewadi Stadium, Mahalunge-Nande Road, Mhalunge, Baner, Pune",1600,"3.9"
1,"The MRP Bar & Kitchen","1st floor, Emirus, Lane Next To Syngenta IT Park, Near D Mart, Baner, Pune",1600,"3.4"
2,"The Urban Foundry","Shop B3, Ground Floor, Cerebrum IT Park, Near Marigold Complex, Kalyani Nagar, Pune",1600,"4.6"
3,"Independence Brewing Company","Shop 14/15, S 19, Park Grandeur, Opposite Balewadi High Street, Balewadi, Pune",1600,"4.3"
4,"Bottle Rock Restaurant & Bar","Opposite Oxford Nissan Showroom, Sus Pashan Road, Pashan, Pune",1600,"3.8"
5,"Green Park","Survey 14/B/2, Baner Road, Baner, Pune",1500,"4.0"
6,"The Urban Foundry","Shop 1, Balewadi High Street, Cummins India Office Campus, Baner-Balewadi Link Road, Baner, Pune",1500,"4.6"
7,"Poona Republic","Shop 4, Sai Empire, Baner Main Road, Baner, Pune",1500,"4.3"
8,"Incognito - Restaurant, Bar & Cafe","Balewadi High Street, Panchshil Business Park, Baner Balewadi Link Road, Baner, Pune",1500,"4.4"
9,"Highland","301, Above Planet Fashion Showroom, Vasukamal, Balewadi Chowk, Baner, Pune",1500,"4.2"
10,"Kinki","Shop 5, Balewadi High Street, Cummins India Office Campus, Baner-Balewadi Link Road, Baner, Pune",1500,"4.1"
11,"Knight Riders","Park Grandeur, Baner-Balewadi High Street Road, Baner, Pune",1500,"3.9"
12,"Elephant & Co.","Shop 5, Ground Floor Sai Heritage Survey 131/1B/1, Baner Main Road, Baner, Pune",1500,"4.2"
13,"The Break Room","A101, Baner Biz Bay, Near D-Mart, Opposite Syngenta Baner, Above Andhra Bank, Baner, Pune",1500,"4.2"
14,"Mainland China","Hotel Shree Nanda Excellency, ITI Road, Aundh, Pune",1500,"4.3"
15,"Vintage 7","Gitanjali Apartment, New DP Road, Aundh, Pune",1500,"4.1"
16,"Skittles - The Sports Bar","181, Pink City Road, Opposite Pumpkin Patch, Wakad, Pune",1500,"4.1"
17,"The Funky Kona","Rajwada Chowk, Baner Main Road, Baner, Pune",1400,"4.0"
18,"Mr Rabbit's Bar & Burrow","Shop 1, Siddh Icon, Opposite Royal Enfield Showroom, Baner, Pune",1400,"4.6"
19,"La Pizzeria","Shop F/B21, Ground Floor, Balewadi High Street Complex, Baner, Pune",1400,"4.0"
0,"Tales & Spirits","Shop 6-8, D Building, Park Grandeur, Balewadi High Street, Baner, Pune",1200,"4.3"
1,"Malaka Spice","1st Floor, Atria Building, Baner Road, Baner, Pune",1800,"4.3"
2,"Kerala Cafe","Near Vasudha House, Baner Gaon Kamaan, Baner Road, Baner, Pune",700,"4.3"
3,"Origin Bistro","Shop 2A, The Capital, Baner-Pashan Link Road, Baner, Pune",600,"4.4"
4,"Orion","1st Floor, Aspirations, Next to Serenade Building, Baner Road, Baner, Pune",1300,"4.0"
5,"Playboy Beer Garden","26/27, Balewadi High Street, Balewadi-Baner Link Road, Baner, Pune",1800,"4.0"
6,"Caffa","Shop 9 & 10, Laxman Park, Baner Road, Baner, Pune",700,"4.0"
7,"Poona Republic","Shop 4, Sai Empire, Baner Main Road, Baner, Pune",1500,"4.3"
8,"Farmaaish","Kundan Garden, Next To Big Bazaar, Baner, Pune",1000,"3.9"
9,"RushHrs","Shop 5, Suyash Com Mall, Besides Union Bank of India, Pancard Club Entrance Road, Baner, Pune",500,"3.9"
10,"Magnolia","991, Opposite Corporation Bank, Near Mauli Garden, Baner, Pune",1000,"3.9"
11,"The Quick Wok","Shop 1, Regent Plaza, Baner Pashan Link Road, Baner, Pune",600,"4.0"
12,"Churros Cafe","Ujjwal Premises, Shop 3, Below Dhanwantari Hospital, Opposite Cosmos Bank, Baner Road, Baner, Pune",750,"3.9"
13,"The Greedy Man Pizzeria","Shop 8/9, Capital One Building, Baner-Pashan Link Road, Baner, Pune",700,"3.9"
14,"Urbo","Swati Park, Veerbhadra Nagar, Baner, Pune",1700,"4.2"
15,"Pagdandi Books Chai Cafe","Shop 6, Regent Plaza, Baner Pashan Link Road, Behind Symantec, Baner, Pune",250,"4.5"
16,"Dadu's Sweet Emporio","Shop 3, Deron Heights, Baner, Pune",300,"4.1"
17,"Raasta Cafe","135, Balewadi Phata, Beside Kalmakar TVS Showroom, Baner, Pune",1600,"3.8"
18,"Incognito - Restaurant, Bar & Cafe","Balewadi High Street, Panchshil Business Park, Baner Balewadi Link Road, Baner, Pune",1500,"4.4"
19,"Highland","301, Above Planet Fashion Showroom, Vasukamal, Balewadi Chowk, Baner, Pune",1500,"4.2"
0,"KoGoBo - Restobar & Banquet","4th Floor, The Mint, Opposite Kapil Malhar Society, Off Baner Road, Baner, Pune",1400,"3.9"
1,"The 80's","A-Wing, Ujjwal Serene, Next To Mauli Garden, Baner Road, Baner, Pune",1400,"3.7"
2,"Laa Unico","Arihant Aura Building, Above Comet Stationery, Next to Sujay Garden, Commercial Complex, Near Laxmi Narayan Theatre, Mukundnagar, Swargate, Pune",1400,"4.7"
3,"The Ruby Hilltop - Sunny's World","Sunny&#39;s World, 217, Pashan-Sus Road, Sus Gaon, Sus, Pune",1400,"4.3"
4,"The Bar Stock Exchange","1st Floor, Elite Transbay, Opposite SKP Campus, Balewadi, Pune",1400,"4.3"
5,"Linkin Barrel","A-501, The Capital Building, A Wing, Baner-Pashan Link Road, Baner, Pune",1300,"4.3"
6,"Agent Jack's","Rooftop, Pride Purple Accord, Opposite Veritas Deron Heights, Baner, Pune",1300,"4.1"
7,"Thikana","1st Floor, Deron Heights, Above Ranka Jewellers, Baner, Pune",1300,"4.1"
8,"Orion","1st Floor, Aspirations, Next to Serenade Building, Baner Road, Baner, Pune",1300,"4.0"
9,"Cabaret","Ground Floor, Aspirations, Baner Road, Baner, Pune",1300,"4.0"
10,"Nawab Asia","Unit 5/6/7/8, Groundfloor, Cummin India Office Complex, Balewadi High Street, Baner, Pune",1300,"4.1"
11,"Arthur's Theme","25, Balewadi High Street, Baner-Balewadi Link Road, Baner, Pune",1300,"4.1"
12,"The Flour Works","Plot - 5, Baner-Mahalunge Road, Behind ICICI Bank, Baner",1300,"4.1"
13,"45 West","Shop 3, Ground Floor, Regent Plaza, Baner-Pashan Link Road, Baner, Pune",1300,"4.0"
14,"No Strings Attached","The MRP bar and Kitchen,1st Floor, Emirus, Lane Next to Syngenta IT Park, Near D Mart, Baner, Pune",1300,"3.9"
15,"Post 91 - Goldmine Buffet","Level 9, Icon Tower, Baner, Pune",1300,"3.5"
16,"Son Of A Gun","2nd Floor, Primrose Mall, Near Balewadi Phata, Baner, Pune",1300,"3.9"
17,"Nirvana","Elora Pride, Near Amar Paradigm, Baner Road, Baner, Pune",1300,"3.8"
18,"United-21 Hotel","Pan Card Clubs, 8/1, Baner Hills, Baner, Pune",1300,"3.4"
19,"Thikana","1995, Sushila ApartmentNear, Ghole Road, FC Road, Pune",1300,"4.1"
0,"Fish Curry Rice","Focus Building, Near Orchid High School, Baner, Pune",1200,"4.4"
1,"World of Desserts","Shop 5-6, Vidhate Building, Near Ganraj Mangal Karyalaya, Baner, Pune",400,"4.4"
2,"Rastaman Soul Food","Opposite Siemens Main Gate, Balewadi High Street, Baner, Pune",400,"4.4"
3,"L'Apicio","Shop D 8 & 9, Sai Heritage Society, Near Medipoint Hospital, New DP Road, Aundh, Pune",1000,"4.4"
4,"Tatva","Soham Icon, Thergaon, Wakad Road, Wakad, Pune",850,"4.4"
5,"Baker's Hut","SDC 8, Varlaxmi Apartment, Sector 25, Nigdi, Pune",350,"4.4"
6,"SKADOOSH","5, Galaxy One Tower, Near EON IT Park, Kharadi, Pune",400,"4.4"
