Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
"Little Italy","465, Ganeshkhind, Next To Pune Central Mall, Off Model Colony, Shivaji Nagar, Pune",1400,"4.4"
"Pop Tate's","Unit 3, Kakade Bizz Icon, Ganeshkhind Road, Next to E-Square Multiplex, Shivaji Nagar, Pune",1500,"4.2"
"Modern Cafe","364/65 Shivajinagar Pune",550,"3.4"
"Oriental Fusion Restaurant - Ramee Grand Hotel","Ramee Grand Hotel, Survey 587/3, Apte Road, Shivaji Nagar, Pune",1100,"3.9"
"Spiceklub","465, Ganesh Khand Road, Next to Central Mall, Mall 2, Shivaji Nagar, Pune",1500,"4.3"
"Rohit Wadewale Food Mall","Opposite AISSMS College, Shivaji Putla Chowk, Shivaji Nagar, Pune",250,"4.0"
"Santosh Bakery","1202/17, Apte Road, Near JM Road, Shivaji Nagar, Pune",100,"4.4"
"Vrudheshwar Pure Veg","Vrudheshwar Ghat, Opposite Congress Bhavan, Shivaji Nagar, Pune",600,"3.7"
"R' ADDA","Ramee Grand Hotel, 587/3, Apte Road, Shivaji Nagar, Pune",1200,"3.9"
"Sabores European Bistro","Office 10, Pradeep Chambers, Opposite Idea Showroom, Bhandarkar Road, Shivaji Nagar, Pune",1100,"4.0"
"Puran Da Dhaba - Pride Hotel","Pride Hotel, University Road, Shivaji Nagar, Pune",2100,"4.1"
"Surya Hotel - Deccan Rendezvous","Deccan Rendezvous, 1202/3, Apte Road, Shivaji Nagar, Pune",1200,"3.7"
"Chini Mini","Pune Central Mall, Ganeshkhind Road, Shivaji Nagar, Pune",350,"2.9"
"Hotel Dilip Pure Veg","Pragati Towers, Opposite ST Stand, Shivaji Nagar, Pune",400,"2.9"
"Oven & Grill's","Food Court, Pune Central Mall",350,"2.9"
"Cafe Park","Ground Floor, Park Lodge Building, Opposite ST Stand",250,"2.8"
"Daawat Fun Food","364 & 365/14, JM Road, Behind Bharat Petrol Pump, Pune, Shivaji Nagar, Pune",400,"2.8"
"Cafe Bollywood","Pune Central Mall, Ganeshkhind Road, Shivaji Nagar, Pune",250,"2.7"
"Masoli","Near Bhave Gas Agency, Apte Road, Shivaji Nagar, Pune",700,0
"Spices And Chillies","444, Maankar Building, Shivajinagar Gaonthan, Shivaji Nagar, Pune",400,0
"Sunrise Snacks","Shop 4, 102/A, behind mangala talkies, Shivaji Nagar, Pune",200,0
"The Live-In Room Cafe","The Room Fitness & Lifestyle Club, 1st Floor, Kakade Bizz Icon, Next to E-Square, University Road,  Shivaji Nagar, Pune",400,0
"Shivmalhar Bhurji Centre","P.M.C Deccan Gymkhana, Lakdi Pool, Shivaji Nagar, Pune",200,0
"Shreenath Bhel And Sandwich Corner","Dhanyaneshwar Paduka Chowk, FC College Road, Shivaji Nagar, Pune",150,0
"Kekiz The Cake Shop","Shop 3, Sahril Arced, JM Road, Shivaji Nagar, Pune",300,0
"Hotel Classic","Gate  4, Shivaji Nagar Court, Shivaji Nagar, Pune",400,0
"Alok Restaurant & Bar","Building 1340, Shivaji Nagar, Pune",550,0
"Adraq by OYO","364 & 365/14, Off.J.M.Road, Behind Bharat Petrol Pump, Shivaji Nagar, Pune",400,0
"Juice Buzz","Pune Central, Ganeshkhind Road, Shivaji Nagar, Pune",100,0
"8een Cafe","250, Gaothan, Near PMC, Shirole Lane, Shivaji Nagar, Pune, Pune",250,0
"Maharaja Dining Hall","Shop 106 & 107, Pragati Towers, Opposite Bus Stop, Shivaji Nagar, Pune",300,0
"Aphrodite","Centurion Inn, Shirile Baug, Shivaji Nagar, Pune Ganeshkhind Road, Shivaji Nagar",550,0
"Annapurna","25/3, Satpute Bhavan, Shivaji Nagar, Pune",500,"3.1"
"Juice Buzz","Pune Central, Ganeshkhind Road, Shivaji Nagar, Pune",100,0
"8een Cafe","250, Gaothan, Near PMC, Shirole Lane, Shivaji Nagar, Pune, Pune",250,0
"Hotel Neeta","Opposite Shivaji Nagar S.T Stand, Shivaji Nagar, Pune",400,"3.0"
"Maharaja Dining Hall","Shop 106 & 107, Pragati Towers, Opposite Bus Stop, Shivaji Nagar, Pune",300,0
"Karlo Art Kitchen & Cafe","35/6, Madhav Nivas, Lane 8, Prabhat Road, Off Karve Road, Next To Kohinoor Mangal Karalaya, Deccan Gymkhana, Pune",750,"4.3"
"Aphrodite","Centurion Inn, Shirile Baug, Shivaji Nagar, Pune Ganeshkhind Road, Shivaji Nagar",550,0
"Red Panda Chinese","J.M Corner, Next to Jangli Maharaj Mandir, J.M Road, Shivaji Nagar, Pune",300,0
"The 1st Floor","Survey 1133/2, FC Road, Pune",600,"3.8"
"O'Biriyani by OYO","364+365/14, Off.J.M.Road, Behind Bharat Petrol Pump, Shivaji Nagar, Pune",500,0
"The Protein Room","Datta Niwas, Deep Banglow Chowk, Shivaji Nagar, Pune",400,0
"Om Sai Caterers","Himalaya Estate, Pride Hotel Lane, Shivaji Nagar, Pune",200,0
"Rich-O-Cream","Senapati Bapat Road, Jawahar Nagar, Shivaji Nagar, Pune",200,0
"Tea Villa Cafe","FC Annex Building, Shirole Road, Behind Starbucks, FC Road, Shivajinagar",1000,"3.9"
