Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
11,"KFC","Unit 2, Pune Central Mall, Near Garware College, Karve Road, Erandwane, Pune",600,"3.1"
12,"Abhishek Veg Restaurant","Nirmati Eminence, Near Mehendale Garage, Erandwane, Pune",600,"4.0"
13,"Anand Veg","Survey 13/2, Bhosale House, Karve Road, Erandwane, Pune",600,"3.9"
14,"Nitrobuzz","Plot 62, Raghuraj, Ground Floor, Indira Nagar Society, Near Mehendale Garage, Erandwane, Pune",600,"3.8"
15,"Swami The Veg Heritage","Takshashila Hotels, Patil Road, Near Sanjeevan Hospital, Erandwane, Pune",600,"3.8"
16,"Aditya Pure Veg","Near Ranka Jewellers, Karve Road, Erandwane, Pune",600,"3.2"
17,"Manali Pure Veg","34, 4th Dimension Building, Patwardhan Baug, Erandwane, Pune",600,"3.0"
18,"95 Pasta n Pizza","Shop G8, Matai Chambers, Erandwana Gaothan, Erandwane",600,"3.1"
19,"Shrimant","Survey 30/2, Sitaram Apartments, Near Mehandale Garrage, Erandwane, Pune",600,"3.4"
0,"Fresh Off The Boat","Shop 2, Upper Ground Floor, Kedar Empire, Karve Road, Paud Phata, Erandwane, Pune",900,"4.5"
1,"KFC","Unit 2, Pune Central Mall, Near Garware College, Karve Road, Erandwane, Pune",600,"3.1"
2,"Samudra","917, Sharma Chambers, Nal Stop, Erandwane, Pune",650,"4.1"
3,"Nisarg","6/1, Opposite Padale Palace, Nalstop, Erandwane, Pune",1300,"4.2"
4,"Bipin Snacks & Juice Bar","Next to Sahyadri Hospital, Karve Road, Erandwane, Pune",100,"4.4"
5,"Abhishek Veg Restaurant","Nirmati Eminence, Near Mehendale Garage, Erandwane, Pune",600,"4.0"
6,"Vishnuji Ki Rasoi","Mhatre Bridge, Near Siddhi Garden, DP Road, Erandwane, Pune",700,"3.8"
7,"Garden Vada Pav Centre","Butte Patil Apartment, Nal Stop, Erandwane, Pune",100,"4.2"
8,"Kalinga Veg Gourmet Kitchen","1st-3rd Floor, House of Nosh, CTS 1365, Gulawani Maharaj Path, Opposite Mehendale Garage, Erandwane, Pune",900,"4.5"
9,"Anand Veg","Survey 13/2, Bhosale House, Karve Road, Erandwane, Pune",600,"3.9"
10,"Indore Foods","Shop 12, Continental Chambers, Near Sonal Hall, Karve Road, Erandwane, Pune",100,"4.3"
11,"Shrinidhi's Hyderabadi Spice","Survey 11/4, Butte Bhavan, Opposite Kasat Saree Centre, Karve Road, Nal Stop, Erandwane, Pune",800,"3.8"
12,"Kalinga Restaurant & Bar","Shop 15A, Patil Arcade, Off Karve Road, Erandwane, Pune",1300,"3.8"
13,"Abhishek Non Veg Restaurant","30 /1/1, Near Mehendale Garage, Erandwane, Pune",800,"3.7"
14,"Maurya Multi Cuisine Restaurant and Bar","100 Ft DP Road, Opposite Siddhi Garden, Karve Nagar, Erandwane, Pune",1000,"3.9"
15,"Joshi Upahar Gruh","Palande Courier Building, Behind State Bank Of India, Opposite SNDT College, Erandwane, Pune",250,"4.1"
16,"Nitrobuzz","Plot 62, Raghuraj, Ground Floor, Indira Nagar Society, Near Mehendale Garage, Erandwane, Pune",600,"3.8"
17,"Bhadait Misal","Lane 14, Income Tax Office Lane, Beside Seed Infotech Company, Prabhat Road, Erandwane, Pune",150,"4.2"
18,"Chinese Room Oriental","4/5, Continental Chambers, Karve Road, Erandwane, Pune",1200,"3.6"
19,"Reshma Bhurji Center","Near Garware College, Karve Road, Erandwane, Pune",200,"3.9"
0,"Shrinidhi's Hyderabadi Spice","Survey 11/4, Butte Bhavan, Opposite Kasat Saree Centre, Karve Road, Nal Stop, Erandwane, Pune",800,"3.8"
1,"Abhishek Non Veg Restaurant","30 /1/1, Near Mehendale Garage, Erandwane, Pune",800,"3.7"
2,"Woods Villa Family Restaurant","Survey 45/1, 2B 100ft D.P. Road, Next to Gharkul Lawns, Near Mhatre Bridge, Erandwane",800,"3.5"
3,"Cafe MetroMix","39/27, Shailaja Smriti Ground Floor, Lane 9, Prabhat road, Erandwane, Pune",750,"3.7"
4,"Vishnuji Ki Rasoi","Mhatre Bridge, Near Siddhi Garden, DP Road, Erandwane, Pune",700,"3.8"
5,"Domino's Pizza","Shop 11, Padale Palace, Ground & 1st Floor, Erandwane, Pune",700,"3.7"
6,"Baba's Veg Non Veg","Shop 9, Survey 11/12, Ganesh Nagar, Erandwane, Pune",700,"3.7"
7,"Cafe Coffee Day","Survey 9, Plot 884/7, Sharma Chambers, Nalstop, Erandwane, Pune",700,"2.6"
8,"Domino's Pizza","Unit 101, First Floor, Step One, Plot 48/2, Near More Vidyalaya, Mauje Erandwane, Paud Road, Kothrud, Pune",700,"3.5"
9,"Samudra","917, Sharma Chambers, Nal Stop, Erandwane, Pune",650,"4.1"
10,"Aavees","6, Swawroop Complex, Near Kalmadi House, Karve Road, Erandwane, Pune",650,"3.8"
11,"KFC","Unit 2, Pune Central Mall, Near Garware College, Karve Road, Erandwane, Pune",600,"3.1"
12,"Abhishek Veg Restaurant","Nirmati Eminence, Near Mehendale Garage, Erandwane, Pune",600,"4.0"
