Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
7,"Cafe Windchamps","Shop 2, Akhil Cooperative Society, Near Kedar Empire Karve Road, Erandwane, Pune",500,"3.4"
8,"Surya","5 A/3, Laxminarayan Nagar, Patwardhan Baug, Erandwane, Pune",550,"3.4"
9,"Shrimant","Survey 30/2, Sitaram Apartments, Near Mehandale Garrage, Erandwane, Pune",600,"3.4"
10,"Cafe CrunChiz","Survey 104/1/1, Bharatkunj - 2, Erandwane, Pune",400,"3.4"
11,"Cafe Durga","Citi Centre Building, Opposite Ayurvedic Roshala, Near LG Showroom, Erandwane, Pune",200,"3.4"
12,"Cafe Cremyday","Leela Shree Apartments, Near Graware College, Erandwane, Pune",250,"3.4"
13,"Cafe Crush","Darekar Height, Karve Road, Opposite Garware College, Erandwane, Pune",300,"3.4"
14,"Laxmi Misal","Akhil Society, Pandurang Colony, Erandwane, Pune",200,"3.4"
15,"Pavbhaji By Kilo","4th Floor, The Food Atm, GoodWill House, Opposite Padale Palace, Erandwane, Pune",250,"3.3"
16,"Grill n Chill","8, Patil Arcade, Near Hotel Kalinga, Erandwane, Pune",300,"3.3"
17,"Hotel Naaz Veg Non Veg","Survey 31/1, Amrut Building, Karve Road, Erandwane, Pune",500,"3.3"
18,"Kwality Family Resto Bar","Survey 15/A, Saraswati Apartment Karve Road, Erandwane, Pune",1200,"3.3"
19,"Aishwarya","Shop 8, Sriram Jyoti Housing Society, Opposite CDSS, Erandwane, Pune",200,"3.3"
0,"Cafe MetroMix","39/27, Shailaja Smriti Ground Floor, Lane 9, Prabhat road, Erandwane, Pune",750,"3.7"
1,"Dairy Don","17, Swapnanagri, Next to Sonal Hall, Karve Road, Erandwane, Pune",200,"3.9"
2,"Amruteshwar","Apex Colony, Warje Malwadi Road, Abhinav Chowk, Nal Stop, Erandwane, Pune",300,"3.5"
3,"Ganesh Bhel","Shop 1, Ambe-Shree Aparments, Near Karnataka High School, Ganeshnagar, Erandwane, Pune",200,"3.9"
4,"Zannat Foods","Shop 12, Pune Mahanagar Palika Sevak Sahakar, Griharachana Akshay Sankul, Hanuman Nagar, Opposite SB Road, Erandwane, Pune",250,"3.8"
5,"Kavi - The Hangout Bar","70/2/B, Govind Chamber, Opposite Telephone Exchange, Karve Road, Erandwane, Pune",1300,"3.8"
6,"Knight Hunger","Opposit Shyadri hospital, Karve Road, Erandwane, Pune",200,"3.5"
7,"The Betel Leaf","Shop 6, Minal Arcade, Building C, Near Samudra Hotel, Nal Stop, Erandwane, Pune",300,"3.9"
8,"Cafe Coffee Day","Survey 9, Plot 884/7, Sharma Chambers, Nalstop, Erandwane, Pune",700,"2.6"
9,"Cafe Bon Appetit","Shop 3, Shankarchya Society, Near Mhatre Bridge, Erandwane, Pune",400,"3.4"
10,"Roti Shoti Aur Kabab","Mhatre Bridge, DP Road, Erandwane, Pune",1000,"3.1"
11,"Oye Bubbly","Shop 3, Kishori Park, Near Karnataka High School, Erandwane, Pune",200,"3.9"
12,"95 Pasta n Pizza","Shop G8, Matai Chambers, Erandwana Gaothan, Erandwane",600,"3.1"
13,"Cafe Windchamps","Shop 2, Akhil Cooperative Society, Near Kedar Empire Karve Road, Erandwane, Pune",500,"3.4"
14,"Pavitra","18 A, Near New Karnataka High School, Ganeshnagar, Erandwane, Pune",550,"3.2"
15,"Divine Dish","Shop 10, Bharat Vihar Society, Opposite Karnatak High School, Erandwane, Pune",550,"3.5"
16,"Hrishikesh Seafoods","Shop 143, Dattawadi, Mhatre Bridge Corner, Erandwane, Pune",450,"3.9"
17,"Sai Chaya Misal House","Shop 1, Surya Tower, Erandwane, Pune",150,"3.7"
18,"Joshi Sweets","Shop 1, Kamla Park Society, Next To Bank Of Baroda, Erandwane, Pune",300,"3.6"
19,"Jay Ganesh Fastfood","Shop 5, Meenal Arcade, Nalstop Chowk, Pandurang Colony, Erandwane, Pune",250,"3.0"
